"release_year","Genre","number_of_games"
"1984","Action role-playing","1"
"1985","Fighting","1"
"1985","Educational","1"
"1988","Action-adventure","1"
"1988","Beat 'em up, run-and-gun","1"
"1988","Puzzle","1"
"1989","God game","1"
"1993","First-person shooter","1"
"1993","Adventure, puzzle","1"
"1993","Rail shooter","1"
"1993","Adventure","1"
"1994","First-person shooter","1"
"1994","Space combat simulation","1"
"1995","Real-time strategy","2"
"1995","Interactive movie","2"
"1995","City-building game","1"
"1995","Graphic adventure","1"
"1996","First-person shooter","2"
"1996","Action role-playing","1"
"1996","Turn-based strategy, 4X","1"
"1996","Turn-based strategy","1"
"1996","Sim racing","1"
"1996","Real-time strategy","1"
"1997","Real-time strategy","2"
"1997","Action","1"
"1997","Point-and-click","1"
"1997","Sports","1"
"1997","Racing game","1"
"1997","First-person shooter","1"
"1998","First-person shooter","2"
"1998","Role-playing game","2"
"1998","Real-time tactics","1"
"1998","Real-time strategy","1"
"1998","Construction and management simulation","1"
"1998","City-building","1"
"1999","Real-time strategy","2"
"1999","First-person shooter","1"
"1999","Construction and management simulation","1"
"1999","Action","1"
"1999","Trivia game","1"
"1999","City-building game","1"
"1999","City-building","1"
"1999","MMORPG","1"
"2000","Action-adventure, platformer","1"
"2000","Life simulation","1"
"2000","Action role-playing","1"
"2000","Computer role-playing game","1"
"2000","Real-time strategy","1"
"2001","Real-time strategy","2"
"2001","Tactical shooter","1"
"2001","God game","1"
"2001","Action-adventure","1"
"2001","Business simulation","1"
"2001","Adventure","1"
"2001","Turn-based strategy, 4X","1"
"2001","First-person shooter","1"
"2001","Construction and management simulation","1"
"2002","Real-time strategy","3"
"2002","Role-playing game","2"
"2002","First-person shooter","1"
"2002","Business simulation","1"
"2002","Third-person shooter","1"
"2003","City-building","2"
"2003","MMORPG","1"
"2003","Action","1"
"2003","Role-playing game","1"
"2003","Tactical shooter","1"
"2003","Business simulation","1"
"2004","First-person shooter","5"
"2004","Real-time strategy","2"
"2004","Action role-playing","1"
"2004","Construction and management simulation","1"
"2004","Life simulation","1"
"2004","MMORPG","1"
"2005","Real-time strategy","3"
"2005","Action-adventure","1"
"2005","MMORPG","1"
"2005","Construction and management simulation","1"
"2005","Platform","1"
"2005","Turn-based strategy, 4X","1"
"2005","Role-playing game","1"
"2006","Amateur flight simulation","1"
"2006","Sandbox","1"
"2006","City-building game","1"
"2007","Real-time strategy","2"
"2007","First-person shooter","2"
"2007","Action role-playing","1"
"2008","God game","1"
"2008","MMORPG","1"
"2008","First-person shooter","1"
"2009","Graphic adventure, puzzle","1"
"2009","Fighting","1"
"2009","Third-person shooter, survival horror","1"
"2009","First-person shooter","1"
"2009","Life simulation","1"
"2010","Real-time strategy","1"
"2010","Turn-based strategy, 4X","1"
"2010","Compilation","1"
"2011","Action-adventure","2"
"2011","Role-playing game","1"
"2011","Action-adventure, roguelike","1"
"2011","Sandbox, survival","1"
"2011","Action role-playing","1"
"2012","Action role-playing","2"
"2012","Vehicle simulation","2"
"2012","Construction and management simulation","1"
"2012","MMORPG","1"
"2012","Grand strategy","1"
"2013","Grand strategy","1"
"2013","Third-person shooter, survival horror","1"
"2013","Interactive fiction","1"
"2013","Simulation","1"
"2013","Tactical shooter","1"
"2013","Real-time strategy","1"
"2013","Maze, arcade","1"
"2013","City-building","1"
"2013","Survival","1"
"2014","Action role-playing","1"
"2014","Third-person shooter, survival horror","1"
"2015","Real-time strategy","1"
"2015","Graphic adventure","1"
"2015","Survival","1"
"2015","Action role-playing","1"
"2015","Action-adventure, stealth","1"
"2015","City-building","1"
"2015","Action-adventure, Survival","1"
"2015","Action-adventure","1"
"2016","Construction and management simulation","2"
"2016","Visual novel, adventure","2"
"2016","Survival horror","1"
"2016","RTS, 4X, Grand Strategy","1"
"2016","Simulation, role-playing game","1"
"2016","Action role-playing","1"
"2016","Real-time strategy, grand strategy wargame","1"
"2017","Action role-playing, hack and slash","1"
"2017","Role-playing game","1"
"2017","Battle royale","1"
"2017","Run and gun","1"
"2017","Fighting","1"
"2017","Metroidvania","1"
"2018","Survival","2"
"2018","Action role-playing game","1"
"2019","Construction and management simulation","1"
"2019","Action","1"
"2020","Battle royale","1"
"2020","Action role-playing","1"
"2020","Grand strategy","1"
"2021","Survival","1"
